year,avg_temp
1743,7.46
1744,15.73
1745,6.91
1746,
1747,
1748,
1749,
1750,14.62
1751,15.36
1752,8.30
1753,14.00
1754,14.11
1755,11.66
1756,14.24
1757,13.62
1758,12.55
1759,13.55
1760,12.10
1761,14.52
1762,14.00
1763,11.94
1764,13.96
1765,13.58
1766,14.45
1767,13.22
1768,12.86
1769,13.73
1770,13.59
1771,14.48
1772,14.23
1773,14.37
1774,13.93
1775,14.86
1776,13.64
1777,13.56
1778,11.19
1779,6.06
1780,
1781,14.13
1782,13.65
1783,13.40
1784,13.35
1785,13.16
1786,13.70
1787,13.73
1788,14.24
1789,13.98
1790,13.89
1791,14.08
1792,13.57
1793,14.15
1794,14.25
1795,13.97
1796,13.78
1797,13.70
1798,14.45
1799,14.12
1800,14.02
1801,14.38
1802,14.59
1803,14.45
1804,14.39
1805,14.59
1806,14.06
1807,13.84
1808,13.81
1809,13.01
1810,13.18
1811,13.33
1812,12.44
1813,13.52
1814,13.31
1815,12.88
1816,12.43
1817,12.53
1818,13.19
1819,13.24
1820,13.25
1821,13.08
1822,14.14
1823,13.50
1824,14.03
1825,14.66
1826,14.35
1827,14.74
1828,15.57
1829,13.97
1830,15.23
1831,13.27
1832,14.28
1833,14.39
1834,14.88
1835,13.81
1836,13.20
1837,13.97
1838,13.36
1839,14.24
1840,14.43
1841,14.00
1842,14.41
1843,13.33
1844,14.48
1845,14.29
1846,14.72
1847,13.70
1848,14.15
1849,14.02
1850,14.21
1851,14.14
1852,14.19
1853,14.28
1854,14.96
1855,14.10
1856,12.84
1857,12.88
1858,14.22
1859,13.93
1860,14.11
1861,13.93
1862,14.06
1863,13.57
1864,13.24
1865,14.04
1866,13.37
1867,13.68
1868,13.07
1869,13.20
1870,13.91
1871,14.34
1872,12.89
1873,13.26
1874,14.45
1875,13.05
1876,13.56
1877,14.10
1878,14.37
1879,14.22
1880,14.40
1881,14.54
1882,14.23
1883,13.90
1884,13.68
1885,12.43
1886,12.91
1887,13.88
1888,13.46
1889,13.71
1890,14.58
1891,13.73
1892,13.22
1893,13.50
1894,14.25
1895,13.14
1896,14.36
1897,14.25
1898,14.09
1899,13.96
1900,14.27
1901,13.02
1902,13.86
1903,13.41
1904,13.17
1905,13.45
1906,14.00
1907,13.75
1908,14.48
1909,14.04
1910,13.54
1911,14.97
1912,13.30
1913,14.41
1914,13.79
1915,13.92
1916,14.06
1917,12.72
1918,14.10
1919,14.57
1920,13.50
1921,15.52
1922,14.93
1923,14.14
1924,13.08
1925,14.53
1926,13.54
1927,14.86
1928,13.66
1929,13.83
1930,14.35
1931,15.10
1932,14.68
1933,15.12
1934,14.36
1935,14.23
1936,14.38
1937,14.06
1938,15.05
1939,14.82
1940,13.22
1941,14.60
1942,14.06
1943,14.08
1944,14.46
1945,14.32
1946,14.97
1947,13.94
1948,14.47
1949,15.12
1950,14.09
1951,14.41
1952,14.74
1953,14.98
1954,14.96
1955,14.63
1956,14.63
1957,14.82
1958,13.34
1959,14.71
1960,13.63
1961,13.92
1962,14.11
1963,13.44
1964,14.28
1965,14.40
1966,13.64
1967,13.82
1968,13.61
1969,13.59
1970,14.29
1971,14.38
1972,14.17
1973,14.84
1974,14.53
1975,14.62
1976,13.37
1977,14.19
1978,13.59
1979,13.64
1980,14.05
1981,13.80
1982,14.50
1983,14.04
1984,14.31
1985,14.39
1986,15.13
1987,14.85
1988,13.99
1989,13.89
1990,15.54
1991,15.31
1992,14.02
1993,14.21
1994,14.39
1995,14.39
1996,13.92
1997,14.15
1998,15.92
1999,15.28
2000,14.61
2001,14.98
2002,15.20
2003,14.40
2004,14.88
2005,14.87
2006,15.31
2007,15.35
2008,14.46
2009,14.46
2010,14.64
2011,15.24
2012,15.91
2013,16.05
